pfam_acc,pfam_name,n_anchor_in_dom
PF16073,Starter unit:ACP transacylase in aflatoxin biosynthesis,1
PF16198,tRNA pseudouridylate synthase B C-terminal domain,1
PF16497,MHC-I family domain,1
PF16500,Cyclin-A N-terminal APC/C binding region,1
PF16661,Metallo-beta-lactamase superfamily domain,1
PF16859,"Tetracyclin repressor-like, C-terminal domain",1
PF16925,"Tetracyclin repressor-like, C-terminal domain",1
PF18306,SLOG cluster4 family,1
PF20207,Pediocin PA-1 biosynthesis protein PedC-like,1
PF00006,"ATP synthase alpha/beta family, nucleotide-binding domain",1
PF13522,Glutamine amidotransferase domain,1
PF20511,"Phosphomannose isomerase type I, catalytic domain",1
PF20628,"Dyp-type peroxidase, C-terminal",1
PF21188,Pre-mRNA-splicing helicase BRR2 plug domain,1
PF21257,"ASH2, PHD zinc finger",1
PF21686,"LigD, primase-polymerase domain",1
PF21993,"Transcriptional regulator LmrA/YxaF-like, C-terminal domain",1
PF22602,"Nuclear RNA export factor, NTF2 domain",1
PF10502,"Signal peptidase, peptidase S26",1
PF10609,NUBPL iron-transfer P-loop NTPase,1
PF10672,S-adenosylmethionine-dependent methyltransferase,1
PF13622,Acyl-CoA thioesterase N-terminal domain,1
PF13632,Glycosyl transferase family group 2,1
PF13671,AAA domain,1
PF13677,Membrane MotB of proton-channel complex MotA/MotB,1
PF00104,Ligand-binding domain of nuclear hormone receptor,1
PF13434,L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase,1
PF22664,Trichothecene 3-O-acetyltransferase-like N-terminal domain,1
PF22669,Endonuclease/Exonuclease/phosphatase family 2,1
PF22785,"Polymorphic toxin system, DSP-PTPase phosphatase",1
PF23322,"AH receptor-interacting protein, N-terminal FKBP-type PPIase",1
PF24827,Succinylglutamate desuccinylase/Aspartoacylase catalytic domain,1
PF25487,"Ethylene receptor 1-like, N-terminal domain",1
PF20510,"Homogentisate 1,2-dioxygenase N-terminal",1
PF00270,DEAD/DEAH box helicase,1
PF00288,GHMP kinases N terminal domain,1
PF13531,Bacterial extracellular solute-binding protein,1
PF13549,ATP-grasp domain,1
PF13466,"Mlab, STAS domain",1
PF13500,AAA domain,1
PF13401,AAA domain,1
PF13410,"Glutathione S-transferase, C-terminal domain",1
PF00076,RNA recognition motif,1
PF00077,Retroviral aspartyl protease,1
PF00079,Serpin (serine protease inhibitor),1
PF00080,Copper/zinc superoxide dismutase (SODC),1
PF00091,"Tubulin/FtsZ family, GTPase domain",1
PF00102,Protein-tyrosine phosphatase,1
PF00231,ATP synthase,1
PF00254,FKBP-type peptidyl-prolyl cis-trans isomerase,1
PF00010,Helix-loop-helix DNA-binding domain,1
PF00028,Cadherin domain,1
PF00041,Fibronectin type III domain,1
PF00044,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain",1
PF00050,Kazal-type serine protease inhibitor domain,1
PF00054,Laminin G domain,1
PF00055,Laminin N-terminal (Domain VI),1
PF00059,Lectin C-type domain,1
