protein,base_setup,variant,alpha,anchor_positions,segment_metric,faithfulness,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1IN4A,clean,k_only,0.0,"[55, 106, 151]",0.9656463861465454,1.0,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,k_only,0.5,"[55, 106, 151]",0.9633048176765442,0.9960451311094155,0.1192515641450882,0.1021617129445076,0.06061690300703049,7.643099784851074,0.9116614229478717
1IN4A,clean,k_only,1.0,"[55, 106, 151]",0.9615212082862854,0.9930326455123212,0.11064884066581726,0.0759667307138443,0.04523671418428421,7.733666896820068,0.9224641789623336
1IN4A,clean,k_only,2.0,"[55, 106, 151]",0.9590402245521545,0.9888423066373895,0.10034091770648956,0.04103831201791763,0.025912011042237282,7.830147743225098,0.9339723194023106
1IN4A,clean,k_only,4.0,"[55, 106, 151]",0.9565067887306213,0.9845633770885692,0.09576406329870224,0.011768253520131111,0.027064248919487,7.871408462524414,0.9388938574074566
1IN4A,clean,k_only,8.0,"[55, 106, 151]",0.9552825093269348,0.9824955902230326,0.09744563698768616,0.0011126826284453273,0.027423162013292313,7.860871315002441,0.9376369968176297
1IN4A,clean,k_only,10.0,"[55, 106, 151]",0.9551833271980286,0.9823280733124068,0.09755602478981018,0.0003722109831869602,0.027441754937171936,7.857767581939697,0.937266786591402
1IN4A,clean,k_only,12.0,"[55, 106, 151]",0.9551506042480469,0.9822728048124467,0.09758761525154114,0.00013035745359957218,0.027446841821074486,7.856352806091309,0.9370980335200825
1IN4A,clean,k_only,14.0,"[55, 106, 151]",0.955139696598053,0.9822543819791267,0.097596675157547,4.735186666948721e-05,0.02744833379983902,7.8557353019714355,0.9370243782361732
1IN4A,clean,k_only,16.0,"[55, 106, 151]",0.9551357626914978,0.9822477376785851,0.09759927541017532,1.769665141182486e-05,0.027448762208223343,7.855469226837158,0.9369926410559252
1IN4A,clean,k_only,32.0,"[55, 106, 151]",0.9551334977149963,0.9822439121722126,0.09760034084320068,1.1371841246443637e-08,0.02744900807738304,7.855267524719238,0.9369685822257371
1IN4A,clean,v_only,0.0,"[55, 106, 151]",0.9656463861465454,1.0,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,0.5,"[55, 106, 151]",0.9652119278907776,0.9992662074750294,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,1.0,"[55, 106, 151]",0.9645792841911316,0.9981976831424683,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,2.0,"[55, 106, 151]",0.9626190066337585,0.9948868080483217,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,4.0,"[55, 106, 151]",0.9551413655281067,0.9822572007732959,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,8.0,"[55, 106, 151]",0.924339234828949,0.9302329315595266,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,10.0,"[55, 106, 151]",0.9001321792602539,0.8893476308613868,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,12.0,"[55, 106, 151]",0.8543520569801331,0.8120257913626207,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,14.0,"[55, 106, 151]",0.7521867156028748,0.6394702861594539,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
