protein,n_res,anchor_pos,radius_int,jump_from_radius,jump_to_radius,jump_from_alpha_norm,jump_to_alpha_norm,max_jump_alpha_norm,steering_mode,alpha,n_visible,P_L5_visible,P_L2_visible,P_L_visible,full_P_L5_visible,full_P_L2_visible,full_P_L_visible,delta_vs_full_P_L5_visible,delta_vs_full_P_L2_visible,delta_vs_full_P_L_visible,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1S3CA,141,5,60,40,60,0.4440136108811799,1.0432257882459177,0.5992121773647379,direct,14.0,66,0.46153846153846156,0.2727272727272727,0.21212121212121213,0.6923076923076923,0.45454545454545453,0.2878787878787879,-0.23076923076923073,-0.18181818181818182,-0.07575757575757577,0.11646634340286255,2.7634259321758416e-16,0.038336917757987976,6.606873512268066,0.925390572342931
1S3CA,141,5,60,40,60,0.4440136108811799,1.0432257882459177,0.5992121773647379,direct,16.0,66,0.3076923076923077,0.21212121212121213,0.18181818181818182,0.6923076923076923,0.45454545454545453,0.2878787878787879,-0.3846153846153846,-0.2424242424242424,-0.10606060606060608,0.11646634340286255,2.2197685386977954e-18,0.0383157916367054,6.607050895690918,0.9254154175207434
1S3CA,141,5,60,40,60,0.4440136108811799,1.0432257882459177,0.5992121773647379,direct,32.0,66,0.6153846153846154,0.30303030303030304,0.21212121212121213,0.6923076923076923,0.45454545454545453,0.2878787878787879,-0.07692307692307687,-0.1515151515151515,-0.07575757575757577,0.11646634340286255,7.75077754851837e-35,0.0374259389936924,6.609189033508301,0.925714895416741
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,0.0,81,0.9375,0.85,0.6666666666666666,0.9375,0.85,0.7037037037037037,0.0,0.0,-0.03703703703703709,0.9823567867279053,0.9397010803222656,0.9397010803222656,0.6546419858932495,0.08524561264706032
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,0.5,81,0.9375,0.825,0.654320987654321,0.9375,0.85,0.7037037037037037,0.0,-0.025000000000000022,-0.04938271604938271,0.8875042796134949,0.7450956106185913,0.7450956106185913,2.1786482334136963,0.2836973603921442
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,1.0,81,0.875,0.825,0.654320987654321,0.9375,0.85,0.7037037037037037,-0.0625,-0.025000000000000022,-0.04938271604938271,0.6281570196151733,0.32164880633354187,0.32164880633354187,4.552095413208008,0.5927608840995837
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,2.0,81,0.9375,0.825,0.691358024691358,0.9375,0.85,0.7037037037037037,0.0,-0.025000000000000022,-0.012345679012345734,0.4466402530670166,0.010733907110989094,0.26813268661499023,5.431302070617676,0.7072486679101425
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,4.0,81,0.875,0.8,0.6419753086419753,0.9375,0.85,0.7037037037037037,-0.0625,-0.04999999999999993,-0.06172839506172845,0.44912999868392944,4.904381057713181e-06,0.27032408118247986,5.401503086090088,0.7033683291187826
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,8.0,81,0.9375,0.8,0.6419753086419753,0.9375,0.85,0.7037037037037037,0.0,-0.04999999999999993,-0.06172839506172845,0.45022791624069214,9.581287152560236e-12,0.2706640064716339,5.3894805908203125,0.701802794067712
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,10.0,81,0.9375,0.8,0.6419753086419753,0.9375,0.85,0.7037037037037037,0.0,-0.04999999999999993,-0.06172839506172845,0.45022791624069214,2.446533881245768e-14,0.2709046006202698,5.386758804321289,0.7014483707911676
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,12.0,81,0.9375,0.825,0.6666666666666666,0.9375,0.85,0.7037037037037037,0.0,-0.025000000000000022,-0.03703703703703709,0.45022791624069214,6.883085020595011e-17,0.2711944580078125,5.385262489318848,0.7012535249183932
2CZQA,205,80,40,30,40,0.3476398722801233,1.0428861136450869,0.6952462413649636,direct,14.0,81,0.8125,0.7,0.5679012345679012,0.9375,0.85,0.7037037037037037,-0.125,-0.15000000000000002,-0.13580246913580252,0.45022791624069214,2.0791889092510728e-19,0.2715356647968292,5.384364128112793,0.7011365428838786
