feature,coefficient,abs_coefficient
aa_-7_V,0.216984,0.216984
aa_-15_P,-0.215829,0.215829
aa_-4_M,-0.214630,0.214630
aa_-29_V,0.213113,0.213113
aa_4_K,-0.213076,0.213076
sse_trans_-21,0.209355,0.209355
aa_7_M,-0.208536,0.208536
aa_23_W,0.208131,0.208131
aa_-3_R,-0.207766,0.207766
aa_-20_M,0.207519,0.207519
sse_-4_C,0.207280,0.207280
aa_10_N,-0.206992,0.206992
aa_13_S,-0.206750,0.206750
charge_-26,-0.206749,0.206749
flex_7,0.206721,0.206721
aa_-25_V,0.205901,0.205901
aa_-24_G,-0.205748,0.205748
aa_-24_H,-0.204499,0.204499
lrf_-14,0.203943,0.203943
sse_-18_E,0.203812,0.203812
sse_trans_-15,-0.203453,0.203453
aa_-30_E,-0.203263,0.203263
aa_-20_C,-0.203233,0.203233
sse_trans_1,-0.202512,0.202512
aa_6_L,-0.201157,0.201157
aa_-20_V,0.200676,0.200676
aa_22_N,-0.199195,0.199195
aa_10_C,0.198782,0.198782
aa_30_G,-0.198765,0.198765
cnt_center_-13,-0.198748,0.198748
aa_12_V,0.196968,0.196968
aa_-22_R,-0.196744,0.196744
sse_-6_E,0.196612,0.196612
aa_-25_A,0.196315,0.196315
aa_-2_Q,-0.196268,0.196268
aa_1_R,-0.196052,0.196052
aa_-8_F,0.195581,0.195581
aa_18_F,0.194656,0.194656
aa_-21_E,-0.192801,0.192801
flex_-30,-0.192693,0.192693
sse_24_H,0.191725,0.191725
aa_-10_E,0.190897,0.190897
aa_20_D,0.190849,0.190849
aa_-27_S,-0.189543,0.189543
aa_-17_R,-0.189543,0.189543
aa_-16_F,0.189226,0.189226
aa_30_N,-0.189060,0.189060
aa_-10_W,-0.188626,0.188626
aa_-20_K,0.187578,0.187578
aa_-8_T,-0.187539,0.187539
aa_-8_V,0.186247,0.186247
aa_-5_S,0.185251,0.185251
aa_13_D,-0.184650,0.184650
aa_-29_L,-0.184563,0.184563
aa_13_K,-0.184402,0.184402
aa_8_R,-0.184109,0.184109
aa_1_F,0.183361,0.183361
aa_-1_D,-0.182868,0.182868
aa_-3_K,0.182722,0.182722
aa_-6_F,-0.181195,0.181195
aa_3_V,-0.181129,0.181129
rsa_-24,0.181033,0.181033
aa_5_E,0.179296,0.179296
aa_-8_P,-0.179249,0.179249
sse_-9_C,-0.178221,0.178221
aa_-14_I,0.178169,0.178169
aa_-18_R,0.177972,0.177972
aa_-30_M,-0.176595,0.176595
aa_-26_D,0.176572,0.176572
aa_-19_W,-0.176100,0.176100
aa_-12_V,0.175564,0.175564
aa_-20_E,-0.175385,0.175385
aa_30_H,0.173525,0.173525
aa_24_I,0.172875,0.172875
aa_8_V,-0.172194,0.172194
sse_trans_-27,-0.170229,0.170229
aa_-12_R,0.169885,0.169885
aa_21_G,-0.169845,0.169845
aa_-7_A,-0.169556,0.169556
aa_-15_Q,0.169544,0.169544
aa_8_H,-0.169081,0.169081
aa_21_T,-0.168652,0.168652
aa_20_A,0.167928,0.167928
aa_-16_I,0.166619,0.166619
sse_-6_C,-0.166398,0.166398
aa_8_G,0.166206,0.166206
cnt_center_-1,-0.166036,0.166036
aa_-8_Q,-0.165716,0.165716
aa_-4_A,-0.165447,0.165447
aa_23_S,-0.165370,0.165370
aa_2_I,0.165131,0.165131
sse_-2_H,-0.164624,0.164624
aa_14_L,-0.164334,0.164334
cnt_center_15,0.163986,0.163986
aa_29_D,-0.163918,0.163918
flex_9,-0.163900,0.163900
aa_0_Q,-0.162938,0.162938
rsa_-9,0.162738,0.162738
aa_10_Q,-0.160373,0.160373
sse_-7_C,-0.159948,0.159948
aa_-14_Q,0.159485,0.159485
rsa_-13,0.157865,0.157865
aa_-16_H,0.157069,0.157069
c8a_7,0.156793,0.156793
aa_-2_F,0.155938,0.155938
aa_-12_C,0.155151,0.155151
aa_19_A,0.154874,0.154874
aa_22_P,-0.154746,0.154746
lrf_8,-0.154195,0.154195
aa_-5_I,0.153470,0.153470
cnt_center_-9,0.153327,0.153327
aa_17_K,0.151792,0.151792
aa_9_Y,0.150673,0.150673
charge_1,-0.150445,0.150445
aa_10_V,0.150153,0.150153
aa_-3_I,-0.149797,0.149797
aa_2_T,0.149684,0.149684
aa_16_C,0.149410,0.149410
aa_29_W,-0.149282,0.149282
sse_trans_-11,0.149186,0.149186
sse_trans_14,0.149160,0.149160
sse_-17_E,0.147349,0.147349
aa_1_M,0.147072,0.147072
aa_1_L,0.146923,0.146923
sse_-23_C,0.146823,0.146823
aa_-15_E,0.146228,0.146228
aa_27_Y,0.146188,0.146188
aa_-15_V,0.145928,0.145928
aa_29_P,-0.145900,0.145900
aa_16_G,-0.145788,0.145788
aa_-19_P,0.145225,0.145225
aa_16_L,0.144605,0.144605
aa_-30_L,0.144383,0.144383
aa_7_A,0.144246,0.144246
aa_3_E,0.144179,0.144179
aa_3_S,0.143840,0.143840
aa_5_K,-0.143537,0.143537
aa_-16_A,-0.143034,0.143034
aa_15_I,-0.142332,0.142332
aa_14_N,0.142098,0.142098
aa_-30_G,-0.141870,0.141870
aa_26_F,-0.141641,0.141641
aa_-18_P,-0.141198,0.141198
lrf_13,0.140678,0.140678
aa_-26_Q,-0.140127,0.140127
aa_19_N,0.139708,0.139708
sse_13_C,-0.138913,0.138913
aa_-17_G,0.138880,0.138880
aa_30_L,0.138626,0.138626
aa_-28_N,0.138583,0.138583
aa_-1_V,0.138139,0.138139
aa_-2_H,-0.138112,0.138112
aa_-3_S,0.137375,0.137375
sse_16_C,0.137350,0.137350
charge_-10,-0.137034,0.137034
aa_12_A,-0.136893,0.136893
charge_-5,-0.136836,0.136836
aa_17_Y,-0.136773,0.136773
