protein,target_layer,target_head,source_layer,source_head,source_group,upstream_mode,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,32,18,27,15,,free,0.25,0.5464078187942505,0.02738666534423828,0.11301754953428152,50.73729705810547,169.38169860839844,209.33181762695312,207.03683471679688,71.75942993164062
2B61A,32,18,30,1,,free,0.25,0.5355217456817627,0.038272738456726074,0.15794150401212154,63.6070556640625,170.06272888183594,210.48822021484375,209.82150268554688,71.75942993164062
1PVGA,11,14,10,9,ANCHOR,free,0.25,0.573357880115509,0.018772244453430176,0.07495030121503371,49.73915481567383,179.38059997558594,141.63575744628906,95.9479751586914,46.606224060058594
1PVGA,11,16,10,9,ANCHOR,free,0.25,0.5210822224617004,0.07104790210723877,0.28366675475828607,61.49243927001953,176.03822326660156,179.42958068847656,68.26481628417969,67.21766662597656
1PVGA,12,8,10,9,ANCHOR,free,0.25,0.5862178802490234,0.0059122443199157715,0.023605301632090608,25.214614868164062,177.01223754882812,180.45437622070312,59.527591705322266,43.68634033203125
1PVGA,12,8,11,14,ANCHOR,free,0.25,0.5887237191200256,0.0034064054489135742,0.01360045758459919,28.929094314575195,177.1660614013672,180.2293243408203,59.339324951171875,43.68634033203125
1PVGA,12,8,11,16,ANCHOR,free,0.25,0.5852152109146118,0.006914913654327393,0.027608571929345682,29.682727813720703,176.38990783691406,179.60955810546875,58.547176361083984,43.68634033203125
1PVGA,12,10,10,9,ANCHOR,free,0.25,0.5895808935165405,0.0025492310523986816,0.01017809222109751,27.142892837524414,175.77713012695312,202.18988037109375,51.06676483154297,49.244239807128906
1PVGA,12,10,11,14,ANCHOR,free,0.25,0.5831364989280701,0.00899362564086914,0.03590806376246723,31.271657943725586,176.26869201660156,202.50161743164062,50.917789459228516,49.244239807128906
1PVGA,12,10,11,16,ANCHOR,free,0.25,0.5801960825920105,0.011934041976928711,0.04764800730688451,36.596683502197266,175.53138732910156,201.493408203125,49.78961944580078,49.244239807128906
1PVGA,12,15,10,9,ANCHOR,free,0.25,0.5902296304702759,0.00190049409866333,0.007587936834382242,27.465538024902344,173.03018188476562,168.0302734375,65.71385192871094,53.412147521972656
1PVGA,12,15,11,14,ANCHOR,free,0.25,0.5893137454986572,0.0028163790702819824,0.011244710784425132,31.541093826293945,172.9490203857422,168.0791778564453,65.63462829589844,53.412147521972656
1PVGA,12,15,11,16,ANCHOR,free,0.25,0.5880338549613953,0.004096269607543945,0.01635481797102353,37.433570861816406,172.5690460205078,167.68699645996094,64.9897232055664,53.412147521972656
1PVGA,13,2,10,9,ANCHOR,free,0.25,0.58725506067276,0.004875063896179199,0.01946424192203618,17.930212020874023,210.81472778320312,195.78585815429688,66.48001861572266,42.68044662475586
1PVGA,13,2,11,14,ANCHOR,free,0.25,0.5870332717895508,0.005096852779388428,0.020349759029162928,23.997875213623047,210.9754180908203,195.47714233398438,67.02409362792969,42.68044662475586
1PVGA,13,2,11,16,ANCHOR,free,0.25,0.5848870277404785,0.007243096828460693,0.028918880231371985,25.123624801635742,210.44155883789062,195.32778930664062,65.98615264892578,42.68044662475586
