protein,target_layer,target_head,source_layer,source_head,source_group,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,27,15,16,7,,0.25,0.5735957622528076,0.00019872188568115234,0.000820072844802936,8.102128028869629,174.6737518310547,169.3781280517578,77.38817596435547,52.31636428833008
2B61A,27,15,19,15,,0.25,0.5733591914176941,0.00043529272079467773,0.0017963383280131496,8.321555137634277,174.66259765625,169.3991241455078,77.34907531738281,52.31636428833008
2B61A,27,15,14,13,,0.25,0.5739251971244812,-0.00013071298599243164,-0.000539418040987654,7.802702903747559,174.62828063964844,169.39427185058594,77.3499526977539,52.31636428833008
1PVGA,26,16,13,2,INTRA,0.25,0.592412531375885,-0.0002824068069458008,-0.0011275409980022915,11.507304191589355,175.28306579589844,195.24911499023438,83.4415283203125,45.63057327270508
1PVGA,26,16,17,10,INTRA,0.25,0.5919390320777893,0.00019109249114990234,0.000762958302996063,11.350091934204102,175.30015563964844,195.2421112060547,83.38385772705078,45.63057327270508
1PVGA,26,16,14,4,CROSS,0.25,0.592367947101593,-0.0002378225326538086,-0.0009495332591872399,11.406023025512695,175.33926391601562,195.2598876953125,83.38961029052734,45.63057327270508
1PVGA,26,16,15,8,CROSS,0.25,0.5923724174499512,-0.0002422928810119629,-0.0009673816287208347,11.454449653625488,175.3524169921875,195.22286987304688,83.46763610839844,45.63057327270508
1PVGA,26,16,11,14,ANCHOR,0.25,0.5921727418899536,-4.26173210144043e-05,-0.0001701544562202698,13.138833045959473,175.2859344482422,195.158447265625,83.23347473144531,45.63057327270508
1PVGA,26,16,11,16,ANCHOR,0.25,0.5921403169631958,-1.0192394256591797e-05,-4.0694282536596e-05,14.334280014038086,175.10821533203125,195.16937255859375,82.69891357421875,45.63057327270508
1PVGA,26,16,12,10,ANCHOR,0.25,0.5923691391944885,-0.0002390146255493164,-0.0009542928243961986,11.231039047241211,175.33212280273438,195.2322540283203,83.44140625,45.63057327270508
1PVGA,26,16,12,15,ANCHOR,0.25,0.5922339558601379,-0.00010383129119873047,-0.00041455812970029373,11.651970863342285,175.29515075683594,195.2216339111328,83.32453918457031,45.63057327270508
1PVGA,26,16,13,18,ANCHOR,0.25,0.5917242169380188,0.00040590763092041016,0.0016206319536504021,11.089407920837402,175.2515869140625,195.32864379882812,83.38172912597656,45.63057327270508
